epoch,auc,score,date
22,0.9588,0.93079,20200206
25,0.9367,,20200207
26,0.9494,,20200207
27,0.9475,,20200207
28,0.9484,,20200207
29,0.9486,,20200207
30,0.9525,,20200207
31,0.9557,,20200207
32,0.9578,0.92209,20200210
33,0.9598,0.93092,20200210
34,0.9619,,20200210
35,0.9639,,20200210
36,0.9656,,20200210
37,0.967,,20200210
38,0.9682,,20200210
39,0.9693,0.94682,20200210
40,0.9703,,20200210
41,0.9711,,20200210
42,0.9718,,20200210
43,0.9725,,20200210
44,0.9731,,20200210
45,0.9736,0.95012,20200211
